file,number of assertions
print_coercion_tables.py, 0
utils.py, 142
parameterized.py, 5
nosetester.py, 0
noseclasses.py, 0
decorators.py, 2
__init__.py, 0
__init__.py, 0
setup.py, 0
setup.py, 0
_pickle.py, 0
extending_distributions.py, 0
extending.py, 2
setup.py, 0
parse.py, 0
extending.py, 1
__init__.py, 0
setup.py, 0
polyutils.py, 0
polynomial.py, 0
legendre.py, 0
laguerre.py, 0
hermite_e.py, 0
hermite.py, 0
chebyshev.py, 0
_polybase.py, 0
__init__.py, 0
setup.py, 0
defmatrix.py, 0
__init__.py, 0
matlib.py, 0
timer_comparison.py, 75
testutils.py, 42
setup.py, 0
mrecords.py, 0
extras.py, 0
core.py, 0
bench.py, 0
__init__.py, 0
setup.py, 0
linalg.py, 33
make_lite.py, 0
fortran.py, 0
clapack_scrub.py, 0
__init__.py, 0
utils.py, 0
user_array.py, 0
ufunclike.py, 0
type_check.py, 0
twodim_base.py, 0
stride_tricks.py, 0
shape_base.py, 0
setup.py, 0
scimath.py, 0
recfunctions.py, 0
polynomial.py, 0
npyio.py, 0
nanfunctions.py, 4
mixins.py, 0
index_tricks.py, 0
histograms.py, 0
function_base.py, 4
format.py, 1
arrayterator.py, 0
arraysetops.py, 0
arraypad.py, 0
_version.py, 0
_iotools.py, 0
_datasource.py, 0
__init__.py, 0
setup.py, 0
helper.py, 0
_pocketfft.py, 0
__init__.py, 0
use_rules.py, 0
setup.py, 0
rules.py, 0
func2subr.py, 2
f90mod_rules.py, 0
f2py_testing.py, 0
f2py2e.py, 1
diagnose.py, 0
crackfortran.py, 4
common_rules.py, 0
cfuncs.py, 0
cb_rules.py, 0
capi_maps.py, 0
auxfuncs.py, 0
__version__.py, 0
__main__.py, 0
__init__.py, 0
dual.py, 0
ufuncs.py, 0
constants.py, 0
__init__.py, 0
unixccompiler.py, 0
system_info.py, 3
setup.py, 0
pathccompiler.py, 0
numpy_distribution.py, 0
npy_pkg_config.py, 0
msvccompiler.py, 0
msvc9compiler.py, 0
misc_util.py, 12
mingw32ccompiler.py, 0
log.py, 0
line_endings.py, 0
lib2def.py, 0
intelccompiler.py, 0
from_template.py, 0
vast.py, 0
sun.py, 0
pg.py, 0
pathf95.py, 0
nv.py, 0
none.py, 0
nag.py, 0
mips.py, 0
lahey.py, 0
intel.py, 1
ibm.py, 0
hpux.py, 0
